"videoid;""analysistype"";""score"";""type"";""text"";""section"";""source""",
"facebook1386460418125111;""Entities"";0","999999284744263;""ORGANIZATION"";""Harvard"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999578833580017;;""the country"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","989180564880371;;""175 pounds"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","998136699199676;;""The volume"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","991668164730072;;""The biggest sample"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","995205998420715;;""all day"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","995192110538483;;""life and death issues"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","950988531112671;;""the success rate"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","983030736446381;;""money and time"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","313585549592972;""PERSON"";""Prozac"";1;""subtitles"""
"facebook1386460418125111;""Entities"";0","99999475479126;""QUANTITY"";""second nature"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999184012413025;;""a fecal transplant"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","994605183601379;;""kind"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","85393226146698;;""a good one"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","970382571220398;;""the time"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","979930698871612;;""a success"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","969862818717956;;""care"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","85257226228714;;""life"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999472856521606;;""the collection process"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999192535877228;;""the top"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","997912287712097;;""the ickiness"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","790444791316986;""QUANTITY"";""one thing"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","999979615211487;""QUANTITY"";""each donor"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","935209691524506;;""a filter"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","993984878063202;;""the liquid"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999998331069946;;""fever"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","997103989124298;;""a donor"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","974523425102234;;""this pipette"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","947316467761993;;""the first couple samples"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999704837799072;;""a conoscope"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","60276848077774;;""people"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","996415138244629;;""diarrhea"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","989968836307526;;""a 3-step process"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","988325655460358;;""a belly ache"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","983537435531616;;""antibiotic"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","982379376888275;""QUANTITY"";""15"
"facebook1386460418125111;""Entities"";0","992674648761749;""QUANTITY"";""20 years"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","933788299560547;;""Scooby Doo-Doo"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","9950150847435;;""medical supervision"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","977878212928772;;""This classic case"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","860214054584503;;""pain"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","936918318271637;;""a rather uncomfortable sounding medical procedure"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","991971909999847;;""work"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","973152160644531;;""this disease"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","95979917049408;;""quite a bit"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","99981677532196;;""the comments"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","99957412481308;;""how many people"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","958333849906921;;""about 150-200 grams"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","96780800819397;;""an estimated 15"
"facebook1386460418125111;""KeyPhrases"";0","947425246238708;;""doctors"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","918657004833221;;""a soda can"";1;""subtitles"""
"facebook1386460418125111;""Entities"";0","999383211135864;""QUANTITY"";""first couple samples"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","9999680519104;""QUANTITY"";""twice"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","99598491191864;""PERSON"";""Ryan"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","941846609115601;;""fiber"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","879901766777039;;""one thing"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999912202358246;;""a UTI"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","961053431034088;;""Ninja Turd"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","882914543151855;;""a donor"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","998907446861267;;""a trademark smell perse"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","998282968997955;;""quarantine"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","886386275291443;""OTHER"";""C. Diff"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","999808967113495;""QUANTITY"";""one"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","994126200675964;;""a number"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","968453288078308;;""a minimum"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","919772922992706;;""diarrhea"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","980197966098785;;""the bowl"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","821819245815277;;""horrible horrible diarrhea"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","870676338672638;;""kind"";1;""subtitles"""
"facebook1386460418125111;""Entities"";0","999996662139893;""DATE"";""this week"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","987961113452911;""QUANTITY"";""3-step process"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999638915061951;;""donors"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999015688896179;;""fecal transplants"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","997959911823273;;""patients"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","969669044017792;;""about 155 pounds"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","987835586071014;;""$40"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","982859134674072;;""about 10 ounces"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","938701331615448;;""581 grams"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","999539732933044;""PERSON"";""Ryan"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","98937326669693;;""poop"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","949311316013336;;""screened fecal matter"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","913303673267364;;""this week"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","914187133312225;""PERSON"";""C.Diff"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","942030668258667;;""every week"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","998212993144989;;""a year"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","982357800006866;;""OpenBiome"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","564228296279907;;""poop"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","998458027839661;;""a flyer"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","941669702529907;;""a blood draw"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","99200826883316;;""the average"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","998623609542847;;""scientific breakthroughs"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","997296690940857;;""vomiting"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","996576845645904;;""a therapist"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999123394489288;;""This miracle"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","962812066078186;""QUANTITY"";""about 4%"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","999995112419128;""QUANTITY"";""first"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","999991416931152;""QUANTITY"";""one treatment"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","998956799507141;;""six months"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","98979377746582;;""severe symptoms"";0;""subtitles"""
