"video_id","feature_names"
"brightcove5368975790001","Car, Automobile, Transportation, Vehicle, Sports Car, Coupe, TEXT_TOP_LEFT, TEXT_TOP_RIGHT, Trademark, Logo, Convertible, Jaguar Car, TEXT_BOTTOM_CENTER, TEXT_BOTTOM_LEFT, TEXT_BOTTOM_RIGHT, Lighting, Parking Lot, Parking, Person, People"
"brightcove5443773127001","People, Human, Person, Transportation, Glasses, Motorcycle, Vehicle, TEXT_BOTTOM_LEFT, TEXT_BOTTOM_CENTER, Word, Automobile, Car, Brick, Sunglasses, Hardhat, Helmet, Clothing, Crash Helmet, Jar, Pottery"
"brightcove5720306473001","Person, Human, People, Car, Automobile, Transportation, Vehicle, Driving, Convertible, Police Car, Headrest, Car Trunk, Home Decor, Cushion, TEXT_BOTTOM_CENTER, TEXT_BOTTOM_RIGHT, Glasses, Trademark, Logo, Furniture"
"brightcove5730258174001","Human, People, Person, Tartan, Plaid, TEXT_BOTTOM_CENTER, TEXT_BOTTOM_RIGHT, Office, Trademark, Logo, Airplane, Filter, Indoors, Transportation, Aircraft, Studio, TEXT_BOTTOM_LEFT, Electronics, Television, TV"
"brightcove5734548523001","TEXT_BOTTOM_CENTER, TEXT_BOTTOM_RIGHT, TEXT_BOTTOM_LEFT, Windshield, People, Person, Human, Car, Automobile, Transportation, Parking Lot, Parking, Vehicle"
"brightcove5743787882001","Transportation, Vehicle, Automobile, Car, People, Human, Person, Driving, Sports Car, Coupe, Convertible, Road, Logo, Trademark, Building, Arena, Smoke, Parking, Parking Lot, Windshield"
"brightcove5744095671001","Person, People, Human, Car, Automobile, Transportation, Snow, Furniture, Chair, Vehicle, Headrest, Outdoors, Cushion, Home Decor, Winter, Storm, Blizzard, Nature, Weather, Convertible"
"brightcove5746335318001","Transportation, Vehicle, Person, Human, People, Driving, Automobile, Car, Convertible, Suv, Nature, Soil, Desert, Outdoors, Road, Gravel, Dirt Road, Offroad, Tire, TEXT_TOP_RIGHT"
"brightcove5750616832001","Human, Person, People, Boat, Transportation, Watercraft, Vessel, Leisure Activities, TEXT_BOTTOM_CENTER, Dinghy, TEXT_BOTTOM_RIGHT, Trademark, Logo, Caravan, Vehicle, Van, Fishing, Nature, Crowd, Automobile"
"brightcove5755188529001","Transportation, Car, Automobile, Convertible, Vehicle, Person, Human, People, Furniture, Chair, Sports Car, Coupe, Couch, Driving, Headrest, Road, Home Decor, Cushion, Plant, Flora"
"brightcove5803663073001","People, Human, Person, Motorcycle, Transportation, Vehicle, Back, Crowd, Electronics, Screen, TEXT_BOTTOM_RIGHT, Monitor, Trademark, Logo, Pine, Tree, Flora, Conifer, Plant, Phone"
"facebook1011990428870603","Person, People, Human, Audience, Speech, Crowd, Overcoat, Clothing, Coat, Suit, Blonde, Female, Girl, Woman"
"facebook10153550466634205","Human, Person, People, Poster, Flyer, Paper, Brochure, TEXT_BOTTOM_CENTER, TEXT_TOP_RIGHT, Webpage, File, TEXT_BOTTOM_LEFT, Studio, Logo, Trademark, TEXT_TOP_CENTER, Audience, Speech, Crowd, TEXT_TOP_LEFT"
"facebook10153552898479205","People, Human, Person, Poster, Clothing, Overcoat, Coat, Blonde, Girl, Female, Suit, Plant, Flora, Jar, Pottery, TEXT_BOTTOM_CENTER, TEXT_BOTTOM_LEFT, Woman, Television, TV"
"facebook10153557795889205","Human, People, Person, Poster, TEXT_BOTTOM_CENTER, TEXT_MIDDLE_LEFT, TEXT_BOTTOM_LEFT, Billboard, Television, TV, Electronics, Screen, Head, Crowd, Audience, Speech, Monitor, Blonde, Ankle, Female"
"facebook10153625475774205","Person, People, Human, Poster, Plan, Diagram, TEXT_MIDDLE_LEFT, TEXT_BOTTOM_RIGHT, Speech, Crowd, Audience, TEXT_BOTTOM_CENTER, Blonde, Overcoat, Coat, Clothing, Handshake, Hand"
"facebook10153752516194205","Person, Human, People, Poster, Paper, Flyer, Brochure, Transportation, Automobile, Car, Vehicle, Police Car, Billboard, Crowd, Audience, Speech, Clothing, Overcoat, Coat, Military"
