"video_id","feature_names","title","description","category","duration","path","topics"
"facebook10156184057785891","Transportation, Poster, Human, Automobile, Skiing, Coil, Product, Interesting, Jeep, Product, Branded Content, Pickup truck, 3 shot changes first 10 seconds, Winter storm, Upbeat, Person, Alloy Wheel, Shareable, Suv, Snowboarding, Van, People, Car, Airplane, Snow tank, Trucks & Accessories, Tire, Vehicle, Car Wheel, Text-on-Screen, 61-90 seconds, Outdoors, Product Review, Auto Parts, Tractor, Ram, Entrepreneurship, Compilation/Clips, Wheel, Snowplow, Spoke, Ice, White truck, Bus, Snow, Snowshoes for your car, Outdoor recreation, Track N Go, SUV (Sport Utility Vehicle), Arctic, Winter, Sedan, Jet, Automotive, Automotive, Engine, Rotor, Sport, Blizzard, 2 average shot changes per 10 seconds, Sports, Logo, Flyer, Brochure, Spiral, Bulldozer, Trademark, Paper, Highlight, Action & Adventure, Snow","Snowshoes For Your Car","Turn your car into a snow tank.","NEWS",72.297,"/Thrillist/videos/10156184057785891/",
"facebook10155316606247917","Transportation, Human, Automobile, Fence, Flora, Jersey, Adam Ferrara, Lærke Møller, Person, Text, Taxi, People, Car, Vehicle, Coat, T-Shirt, Stixxay, Olga Syahputra, Yew, Bus, Sunglasses, Glasses, Clothing, Aron Jóhannsson, Graduation, 2 shot changes first 10 seconds, Conifer, Cab, Ampersand, Overcoat, People Laughing, Dress Shirt, 91-120 seconds, Alphabet, Shirt, Photo Booth, Tree, Double Decker Bus, Teitur Lassen, Suit, Word, Plant, Talant Duyshebaev, 3 average shot changes per 10 seconds, Hedge","SCI on the Street: Space","How many space questions can you get right? (via Science Channel)","ENTERTAINMENT",107.283,"/SeekerMedia/videos/10155316606247917/",
"facebook10156222211770891","15 - 20 Percent Of Screen Width - First 10 Seconds, Transportation, Poster, Motor Scooter, Human, Automobile, Jeep, Asphalt, Traffic Jam, Office Building, Intersection, Crash Helmet, Freeway, Webcam, Text, Person, Train, Urban, Hardware, Taxi, Suv, People, Loudspeaker, Truck, Light, Car, 4 shot changes first 10 seconds, Vehicle, 3 Seconds on Screen, Road, Motorcycle, Guard Rail, TEXT_BOTTOM_LEFT, Headlight, 61-90 seconds, Town, Electronics, City, Tarmac, Parking Lot, Railing, Tunnel, Pollution, Building, TEXT_BOTTOM_RIGHT, 16 - 20 Words On Screen - First 10 Seconds, Glasses, Clothing, Billboard, Camera, Bridge, Parking, Ramp, Machine, Trailer Truck, Convention Center, Cab, 1 - 2 Words Per Second - First 10 Seconds, 5 - 10 Percent of Screen Height - First 10 Seconds, Speaker, Highway, Scooter, Logo, Flyer, Brochure, Hardhat, TEXT_BOTTOM_CENTER, Vespa, Paper, Trademark, Architecture, Computer Hardware, Word, Helmet, 3 average shot changes per 10 seconds, High Rise","Smart Helmet","This smart helmet will make you feel like Iron Man.","NEWS",69.075,"/thrillisttravel/videos/10156222211770891/",
"facebook10155360005088387","Transportation, Poster, Human, Home Decor, Automobile, Swimming, Silhouette, Flora, Coil, Ct Scan, Asphalt, Glass, Traffic Jam, Smoke, Person, Text, Alloy Wheel, Van, Suv, People, Map, Blossom, Car, Vehicle, Furniture, Atlas, X-Ray, Hand, Tarmac, Gemstone, Parking Lot, Hospital, Wheel, Pollution, Jewelry, Spoke, Flower, Anthurium, Cushion, Glasses, Footwear, Clothing, Water, Parking, Greeting Card, Chair, Lab, 1 average shot changes per 10 seconds, Jar, Rotor, Sport, Ampersand, 91-120 seconds, Sports, Logo, Flyer, Brochure, Alphabet, Spiral, Envelope, 0 shot changes first 10 seconds, Trademark, Paper, Word, Plant, Diagram, Clinic, 1-3 shot changes first 30 seconds, Ornament, Mail","There Could Be Plastic In Your Drinking Water","There could be plastic in your drinking water. More here: http://bit.ly/2vQs8KU","NEWS",103.913,"/SeekerMedia/videos/10155360005088387/",
"facebook1245174295572692","4-6 shot changes first 30 seconds, Transportation, Poster, Human, Automobile, Silhouette, Police, Person, Smoke, People, Military Uniform, Collage, Car, Military, Coat, 61-90 seconds, Officer, Celebrating, Clothing, 1 average shot changes per 10 seconds, Overcoat, Tuxedo, Flyer, Brochure, 0 shot changes first 10 seconds, Suit, Paper, Word","The #BackpackChallenge Does Not Look Safe","This is the latest internet trend we dont understand...  (via NowThis Entertainment)","NEWS",61.843,"/thrillistentertainment/videos/1245174295572692/",
"facebook793204047534579","Poster, Trolley, Home Decor, Transportation, Human, Automobile, 1 - 3 The Least Words On Screen At Any One Time - First 10 Seconds, Train Station, Face, Silhouette, Glass, Fence, Flora, Sally Hawkins, Kenneth Branagh, Bicycle, Ankle, Woody Harrelson, Mohsen Yeganeh, Promotional, Asphalt, Interesting, Branded Content, Ferry, 0 - 5 Percent of Screen Height - First 10 Seconds, 10 - 15 Percent Of Screen Width - First 10 Seconds, 5 Average Words On Screen, Jim Belushi, Smile, Ocean, Freeway, Crowd, Doctor, Driving, Bonnie Blair, Aram Asatryan, Jersey, Smoke, Text, Hat, Person, Car Mirror, Dessert, Bike, Movies, Oscar winning actress, Accessories, Truck, Collage, Light, Military Uniform, Car, Frances McDormand, Bodo Ramelow, David Gergen, People, Upcoming Movies , 4 shot changes first 10 seconds, Vehicle, Skin, Furniture, Thrillist, Top ten Oscar nominated movies, Text-on-Screen, 6 - 10 Words On Screen - First 10 Seconds, 3 Seconds on Screen, Road, Team, Terminal, Mirror, Military, Chocolate, Julio Oscar Mechoso, Eva Amaral, Reinhold Würth, Vicky Krieps, Balcony, Ward Cunningham, Incidental, TEXT_BOTTOM_LEFT, Sci-Fi, Tom Hanks, Coat, Bob Odenkirk, T-Shirt, Outdoors, Tarmac, Handwriting, Officer, Lamp, Shorts, Glitter, Box, Lucas Hedges, Adam Jezierski, Rock, Engaging, Apparel, 6 average shot changes per 10 seconds, 3-4 minutes, Streetcar, Table, Parking Lot, Headrest, Hospital, Back, Saoirse Ronan, Pole, Compilation/Clips, Celebrity Gossip, Swimwear, Pollution, Siding, Jewelry, Female, Food, Dirt Road, Couch, Daniel Day-Lewis, Voiceover - Female, TEXT_BOTTOM_RIGHT, Banner, Nature, Tablecloth, Hair, Glasses, Pearl, Pottery, Clothing, Girl, Roberto Fernandes, Billboard, Brick, Trail, Water, Operating Theatre, Lampshade, Parking, Sedan, Beach, Michael Shannon, Daniel Kaluuya, Live Action, White text, Trailer Truck, Pickup Truck, Meryl Streep, Shelf, Path, Cable Car, Christopher Nolan, 1 - 2 Words Per Second - First 10 Seconds, Tie, Portrait, Woman, Jar, Dress Shirt, Shop, Overcoat, Tim Sheens, Ampersand, War movie, Multi-Segment, Gina McKee, Alphabet, Sand, Logo, Gown, Sea, Gate, Boat, Flyer, Jason Castro, Brochure, Jim Dowd, Split screen, Pop, TEXT_BOTTOM_CENTER, Shirt, Head, Soil, Porch, Robe, Dimples, Cowboy Hat, Catherine Keener, Aino-Kaisa Saarinen, Dana DeLorenzo, Instrumental, Academy Awards, Meryl Streep, Trademark, Suit, Tram, Screen, Paper, Dress, Indoors, Reykon, André Gide, Bikini, Jordan Rodrigues, Warren Buffett, Dramatic Film, Afro Hairstyle, Historical, Movie, Word, 13-15 shot changes first 30 seconds, Plant, Vase, Bench, Coast, Clinic, Potted Plant, Linen, Hedge, Fudge, Cutlery, Itzik Kala, Timothée Chalamet, White text on red backdrop, Arts & Entertainment, Gravel","Oscar Best Picture Nominees Ranked","Heres the film we think will win Best Picture at the Oscars this year.  >> thrl.st/2FgmPvX","NEWS",196.457,"/thrillistentertainment/videos/793204047534579/",
"facebook1437260469697406","Transportation, Poster, Luggage, Human, Automobile, Swimming, Fence, Flora, Bicycle, 3 shot changes first 10 seconds, Meal, Doctor, Intersection, Person, Bike, Sports Car, Suv, People, Car, Suitcase, Vehicle, Furniture, Drink, Motorcycle, Road, Electronics, Cristian Roldan, Shorts, Parking Lot, Palm Tree, 2-3 minutes, Food, Pankaj Advani, Milk, Coupe, Pottery, Glasses, Jaguar Car, Water, Parking, Sedan, Chair, Cleaning, Engine, Breakfast, Animal, Office, Jar, Dress Shirt, Sport, 2 average shot changes per 10 seconds, Sports, Flyer, Brochure, Arecaceae, Shirt, Tree, Head, Paper, Indoors, Cyclist, Dairy, Weed, Vase, Plant, Beverage, Bench, Potted Plant, Hedge","These Two Illusionists Make Mind Blowing videos","These visual tricksters create mind-blowing optical illusions. (via NowThis Entertainment)","NEWS",125.523,"/thrillisttravel/videos/1437260469697406/",
"facebook10155501134040891","Windshield, Transportation, Poster, Electrical Device, Automobile, Handrail, Lighting, Ferry, Driving, Toilet, Sewing, Rubble, Van, Car, Airplane, Vehicle, Furniture, Sideboard, 61-90 seconds, Rv, Outdoors, Electronics, Table, Appliance, Couch, Mountain, Interior Design, Game, Field, Oven, Nature, Banister, Bus, Billboard, Glasses, Flooring, Room, Greeting Card, Chair, 2 shot changes first 10 seconds, Yacht, Shelf, Wood, Plywood, Bathroom, Flyer, Sand, Brochure, Boat, Logo, Envelope, Soil, Aircraft, Paper, Trademark, Domino, Indoors, Word, Rock, 3 average shot changes per 10 seconds, Vessel, Watercraft, Mail","Mega-RV","This RV is basically a yacht on wheels.","NEWS",69.907,"/thrillisttravel/videos/10155501134040891/",
"facebook10155362041153387","Skylight, Transportation, Poster, Human, Automobile, Handrail, Prison, Flora, Fence, Ct Scan, Asphalt, Vineyard, Rust, Sports Car, Person, Farm, Roof, Blossom, Car, People, Flood, Vehicle, Furniture, X-Ray, Military, Terrace, Tarmac, Electronics, Weapon, Vine, Oak, Railing, Table, Waterfront, Building, Swimwear, Flower, Column, Dawn Landes, Nature, Mimosa, Entertainment Center, Coupe, Pillar, Banister, Tropical, Pottery, Man, Clothing, Countryside, Window, Sedan, Power Plant, Cottage, Rural, Factory, Animal, 0 average shot changes per 10 seconds, Plywood, Jar, 91-120 seconds, Refinery, Logo, Boat, Tree, House, Housing, Dog House, Carton, 0 shot changes first 10 seconds, Screen, Trademark, Den, Architecture, Vase, Plant, Harbor, Watercraft, 1-3 shot changes first 30 seconds, Potted Plant, Port, Mailbox, Hedge","Flood Problems In Houston Are A Toxic Mess","Extremely high levels of E. coli were found in Houston’s floodwaters.","NEWS",96.211,"/SeekerMedia/videos/10155362041153387/",
"facebook1898544403520064","Transportation, Poster, Human, Automobile, Home Decor, Lighting, Ct Scan, Asphalt, 16-18 shot changes first 30 seconds, Milenko Tepić, Jason Bateman, Crash Helmet, Sports Car, Person, Awning, Jordan Horowitz, Alloy Wheel, Light, Suv, People, Car, 4 shot changes first 10 seconds, Vehicle, Tire, Car Wheel, X-Ray, Headlight, Tarmac, Headrest, Back, Wheel, Spoke, Convertible, 8+ average shot changes per 10 seconds, Coupe, Cushion, Clothing, Jaguar Car, Sedan, Machine, Dress Shirt, 91-120 seconds, Logo, Flyer, Brochure, Shirt, Hardhat, Trademark, Paper, Canopy, Word, Helmet","Mercedes-AMG may hire Linkin Park to develop electric car sounds","Mercedes-Benz might hire Linkin Park to make safety sounds for electric cars. (via NowThis Future)","NEWS",91.646,"/thrillistentertainment/videos/1898544403520064/",
