watchrate,taxonomy_type,tag_name,globalviewcount,videocount,avgduration,avgtotalsecondsperview,totalsecondsperview,sumtotalvideoviews,proscore
52.12151234,Rekognition-Labels,Human,2.08457E+15,2036859,105.522648,55,112780070,22556014,beer/ale/alcoholic cider
52.2382137,Rekognition-Labels,Person,2.07816E+15,2033750,105.286908,55,112518065,22503613,beer/ale/alcoholic cider
52.30671222,Rekognition-Labels,People,2.0426E+15,2015645,105.149029,55,111458895,22291779,beer/ale/alcoholic cider
54.45218645,Rekognition-Labels,Poster,2.27598E+14,673129,97.333098,53,36233285,7246657,beer/ale/alcoholic cider
51.50715197,Rekognition-Labels,Food,4.44482E+13,309613,83.483552,43,13521020,2704204,beer/ale/alcoholic cider
60.91094202,Rekognition-Labels,Logo,2.65849E+13,236014,65.669646,40,9488590,1897718,beer/ale/alcoholic cider
60.84421223,Rekognition-Labels,Trademark,2.59522E+13,233300,65.741668,40,9378725,1875745,beer/ale/alcoholic cider
57.93692556,Rekognition-Labels,Flora,2.61628E+13,231430,77.670673,45,10640345,2128069,beer/ale/alcoholic cider
57.94839204,Rekognition-Labels,Plant,2.61283E+13,231283,77.655304,45,10631770,2126354,beer/ale/alcoholic cider
62.41779535,Rekognition-Labels,Beverage,1.95335E+13,205752,60.880074,38,7836155,1567231,beer/ale/alcoholic cider
62.41779535,Rekognition-Labels,Drink,1.95331E+13,205752,60.880074,38,7836155,1567231,beer/ale/alcoholic cider
54.18029097,Rekognition-Labels,Paper,1.76668E+13,188690,94.13017,51,9798340,1959668,beer/ale/alcoholic cider
55.13632285,Rekognition-Labels,Brochure,1.64169E+13,182050,90.684321,50,9258100,1851620,beer/ale/alcoholic cider
55.14007813,Rekognition-Labels,Flyer,1.64057E+13,181999,90.678145,50,9255070,1851014,beer/ale/alcoholic cider
56.85375455,Rekognition-Labels,Nature,1.20248E+13,154711,91.462737,52,8052200,1610440,beer/ale/alcoholic cider
60.64145611,Rekognition-Labels,Outdoors,1.2018E+13,152884,82.451846,50,7732485,1546497,beer/ale/alcoholic cider
61.69617495,Rekognition-Labels,Glass,6.45354E+12,117634,61.592149,38,4566385,913277,beer/ale/alcoholic cider
57.04912392,Rekognition-Labels,Transportation,6.72393E+12,115169,94.655266,54,6270970,1254194,beer/ale/alcoholic cider
52.91309538,Rekognition-Labels,Building,5.86442E+12,111232,86.935001,46,5225845,1045169,beer/ale/alcoholic cider
60.70045057,Rekognition-Labels,Jar,5.4539E+12,104521,79.076843,48,5101725,1020345,beer/ale/alcoholic cider
65.00493554,Rekognition-Labels,Dessert,4.7791E+12,100939,56.918755,37,3794250,758850,beer/ale/alcoholic cider
65.04197475,Rekognition-Labels,Alcohol,4.7202E+12,100043,55.348873,36,3658680,731736,beer/ale/alcoholic cider
51.12728797,Rekognition-Labels,Clothing,4.41457E+12,93084,119.310064,61,5745635,1149127,beer/ale/alcoholic cider
45.95445734,Rekognition-Labels,Bowl,3.67818E+12,89714,91.394834,42,3850310,770062,beer/ale/alcoholic cider
54.78700227,Rekognition-Labels,Word,3.9315E+12,88927,91.262522,50,4514535,902907,beer/ale/alcoholic cider
51.81630395,Rekognition-Labels,Water,3.50923E+12,84478,100.354514,52,4471560,894312,beer/ale/alcoholic cider
