watchrate,taxonomy_type,tag_name,globalviewcount,videocount,avgduration,avgtotalsecondsperview,totalsecondsperview,sumtotalvideoviews,proscore
51.63367366,Rekognition-Labels,Human,5.82063E+14,568741,104.582913,54,30761675,6152335,yogurt - rfg yogurt - dannon
51.7387115,Rekognition-Labels,Person,5.80339E+14,567937,104.370593,54,30697900,6139580,yogurt - rfg yogurt - dannon
51.79924982,Rekognition-Labels,People,5.70352E+14,562825,104.248614,54,30411670,6082334,yogurt - rfg yogurt - dannon
53.87607427,Rekognition-Labels,Poster,6.30623E+13,186509,96.517797,52,9733445,1946689,yogurt - rfg yogurt - dannon
53.34188855,Rekognition-Labels,Food,1.28474E+13,89491,80.612069,43,3858510,771702,yogurt - rfg yogurt - dannon
59.71959903,Rekognition-Labels,Logo,7.82013E+12,69425,65.305194,39,2761735,552347,yogurt - rfg yogurt - dannon
59.65666397,Rekognition-Labels,Trademark,7.63326E+12,68620,65.374088,39,2729140,545828,yogurt - rfg yogurt - dannon
58.76303498,Rekognition-Labels,Flora,7.50042E+12,66347,76.578754,45,3004830,600966,yogurt - rfg yogurt - dannon
58.76969483,Rekognition-Labels,Plant,7.49168E+12,66315,76.570076,45,3002965,600593,yogurt - rfg yogurt - dannon
61.364001,Rekognition-Labels,Beverage,5.80854E+12,61183,60.295938,37,2274900,454980,yogurt - rfg yogurt - dannon
61.364001,Rekognition-Labels,Drink,5.80842E+12,61183,60.295938,37,2274900,454980,yogurt - rfg yogurt - dannon
54.03673718,Rekognition-Labels,Paper,4.96205E+12,52997,92.529643,50,2661835,532367,yogurt - rfg yogurt - dannon
54.96256371,Rekognition-Labels,Brochure,4.6144E+12,51170,89.151591,49,2516705,503341,yogurt - rfg yogurt - dannon
54.96831139,Rekognition-Labels,Flyer,4.61066E+12,51149,89.142269,49,2515580,503116,yogurt - rfg yogurt - dannon
59.50159617,Rekognition-Labels,Outdoors,3.37733E+12,42964,82.350732,49,2134825,426965,yogurt - rfg yogurt - dannon
55.22686977,Rekognition-Labels,Nature,3.31674E+12,42673,90.53564,50,2173635,434727,yogurt - rfg yogurt - dannon
62.11616399,Rekognition-Labels,Glass,1.94181E+12,35395,61.175703,38,1358215,271643,yogurt - rfg yogurt - dannon
54.92037864,Rekognition-Labels,Transportation,1.95181E+12,33431,92.861705,51,1727170,345434,yogurt - rfg yogurt - dannon
53.47686746,Rekognition-Labels,Building,1.68485E+12,31957,84.148534,45,1445750,289150,yogurt - rfg yogurt - dannon
61.02335712,Rekognition-Labels,Jar,1.56435E+12,29980,78.658406,48,1442390,288478,yogurt - rfg yogurt - dannon
63.96468623,Rekognition-Labels,Alcohol,1.39441E+12,29554,54.717692,35,1056650,211330,yogurt - rfg yogurt - dannon
63.37439613,Rekognition-Labels,Dessert,1.38995E+12,29357,56.805275,36,1081745,216349,yogurt - rfg yogurt - dannon
53.43398581,Rekognition-Labels,Word,1.15845E+12,26203,91.701937,49,1300015,260003,yogurt - rfg yogurt - dannon
46.93945696,Rekognition-Labels,Bowl,1.07286E+12,26168,87.346558,41,1098405,219681,yogurt - rfg yogurt - dannon
51.84539608,Rekognition-Labels,Clothing,1.22453E+12,25820,117.657506,61,1585095,317019,yogurt - rfg yogurt - dannon
51.73352552,Rekognition-Labels,Water,9.69547E+11,23340,98.582108,51,1210040,242008,yogurt - rfg yogurt - dannon
52.74421181,Rekognition-Labels,Text,1.01499E+12,22377,104.276845,55,1250770,250154,yogurt - rfg yogurt - dannon
61.72685306,Rekognition-Labels,Pottery,7.89866E+11,21285,79.381983,49,1046790,209358,yogurt - rfg yogurt - dannon
56.38827727,Rekognition-Labels,Lighting,7.69398E+11,21110,92.217749,52,1107820,221564,yogurt - rfg yogurt - dannon
59.62665841,Rekognition-Labels,Cup,6.77659E+11,20578,67.084088,40,824405,164881,yogurt - rfg yogurt - dannon
53.87076968,Rekognition-Labels,Urban,6.52284E+11,20360,81.676947,44,896080,179216,yogurt - rfg yogurt - dannon
67.34553033,Rekognition-Labels,Animal,7.16479E+11,19399,96.51717,65,1273515,254703,yogurt - rfg yogurt - dannon
54.11360164,Rekognition-Labels,Vehicle,5.34706E+11,17392,97.942104,53,928510,185702,yogurt - rfg yogurt - dannon
61.12523194,Rekognition-Labels,Vase,5.05535E+11,17021,80.163295,49,842825,168565,yogurt - rfg yogurt - dannon
61.30673402,Rekognition-Labels,Potted Plant,4.25111E+11,15680,79.925967,49,777285,155457,yogurt - rfg yogurt - dannon
71.77933826,Rekognition-Labels,Cocktail,3.36925E+11,14507,41.794757,30,446250,89250,yogurt - rfg yogurt - dannon
64.17864894,Rekognition-Labels,Produce,3.43335E+11,14408,57.651572,37,540205,108041,yogurt - rfg yogurt - dannon
57.91873517,Rekognition-Labels,Electronics,3.3218E+11,13307,84.601295,49,662385,132477,yogurt - rfg yogurt - dannon
65.65452077,Rekognition-Labels,Cream,2.46273E+11,12781,54.832477,36,460425,92085,yogurt - rfg yogurt - dannon
65.65452077,Rekognition-Labels,Creme,2.46273E+11,12781,54.832477,36,460425,92085,yogurt - rfg yogurt - dannon
56.36296314,Rekognition-Labels,Fire,2.51171E+11,12320,88.710737,50,625090,125018,yogurt - rfg yogurt - dannon
57.22441074,Rekognition-Labels,Ocean,2.45708E+11,12069,89.122805,51,619740,123948,yogurt - rfg yogurt - dannon
57.22441074,Rekognition-Labels,Sea,2.45708E+11,12069,89.122805,51,619740,123948,yogurt - rfg yogurt - dannon
56.65803723,Rekognition-Labels,Automobile,2.28158E+11,11917,88.248733,50,602185,120437,yogurt - rfg yogurt - dannon
56.6565696,Rekognition-Labels,Car,2.28101E+11,11916,88.251019,50,602125,120425,yogurt - rfg yogurt - dannon
48.74435185,Rekognition-Labels,Architecture,2.35289E+11,11726,94.369908,46,550210,110042,yogurt - rfg yogurt - dannon
57.82588934,Rekognition-Labels,Night,2.3283E+11,11564,95.113107,55,642040,128408,yogurt - rfg yogurt - dannon
39.91321271,Rekognition-Labels,Art,2.33582E+11,11025,162.85334,65,720150,144030,yogurt - rfg yogurt - dannon
59.08124836,Rekognition-Labels,Furniture,2.35073E+11,10955,86.321805,51,566940,113388,yogurt - rfg yogurt - dannon
61.75254162,Rekognition-Labels,Billboard,2.04225E+11,10643,71.252128,44,477595,95519,yogurt - rfg yogurt - dannon
55.37873924,Rekognition-Celebrities,Marc Forster,1.45016E+11,9776,90.287357,50,488880,97776,yogurt - rfg yogurt - dannon
55.81846424,Rekognition-Labels,Flame,1.55966E+11,9712,89.576094,50,495000,99000,yogurt - rfg yogurt - dannon
54.94150199,Rekognition-Labels,Wood,1.54666E+11,9565,83.725414,46,448410,89682,yogurt - rfg yogurt - dannon
55.77653392,Rekognition-Labels,Head,1.73301E+11,9538,96.814908,54,518630,103726,yogurt - rfg yogurt - dannon
64.78862458,Rekognition-Labels,Town,1.34987E+11,9339,63.282714,41,385525,77105,yogurt - rfg yogurt - dannon
