watchrate,taxonomy_type,tag_name,globalviewcount,videocount,avgduration,avgtotalsecondsperview,totalsecondsperview,sumtotalvideoviews,proscore
53.01965692,Rekognition-Labels,Human,2.14535E+15,2096251,105.621204,56,117838680,23567736,pet supplies
53.13229288,Rekognition-Labels,Person,2.13891E+15,2093198,105.397296,56,117584965,23516993,pet supplies
53.1981366,Rekognition-Labels,People,2.10182E+15,2074080,105.266845,56,116410845,23282169,pet supplies
55.52825759,Rekognition-Labels,Poster,2.343E+14,692950,97.247784,54,37645240,7529048,pet supplies
51.88817384,Rekognition-Labels,Food,4.56751E+13,318159,82.870521,43,13912090,2782418,pet supplies
57.40334753,Rekognition-Labels,Logo,2.7622E+13,245221,71.424406,41,10235625,2047125,pet supplies
57.29498951,Rekognition-Labels,Trademark,2.69752E+13,242496,71.559486,41,10125330,2025066,pet supplies
59.73669716,Rekognition-Labels,Flora,2.71109E+13,239817,78.678605,47,11414935,2282987,pet supplies
59.76609686,Rekognition-Labels,Plant,2.70762E+13,239674,78.639902,47,11402235,2280447,pet supplies
61.78691096,Rekognition-Labels,Drink,1.96543E+13,207029,61.501699,38,7872595,1574519,pet supplies
61.78691096,Rekognition-Labels,Beverage,1.96548E+13,207029,61.501699,38,7872595,1574519,pet supplies
54.94669336,Rekognition-Labels,Paper,1.82652E+13,195081,94.637178,52,10254640,2050928,pet supplies
56.05061868,Rekognition-Labels,Brochure,1.69679E+13,188160,90.989183,51,9666095,1933219,pet supplies
56.05444069,Rekognition-Labels,Flyer,1.69561E+13,188105,90.982979,51,9662765,1932553,pet supplies
56.56445267,Rekognition-Labels,Nature,1.23195E+13,158502,91.930528,52,8354970,1670994,pet supplies
62.62943215,Rekognition-Labels,Outdoors,1.22601E+13,155964,83.028056,52,8232535,1646507,pet supplies
62.85380143,Rekognition-Labels,Glass,6.62103E+12,120687,62.048753,39,4711340,942268,pet supplies
55.95356428,Rekognition-Labels,Transportation,6.9824E+12,119596,94.721401,53,6439025,1287805,pet supplies
53.21362212,Rekognition-Labels,Building,5.9753E+12,113335,86.444031,46,5287460,1057492,pet supplies
62.3210637,Rekognition-Labels,Jar,5.63752E+12,108040,81.83429,51,5541965,1108393,pet supplies
65.63814881,Rekognition-Labels,Dessert,4.97853E+12,105151,56.369658,37,3936175,787235,pet supplies
64.67829304,Rekognition-Labels,Alcohol,4.7318E+12,100289,55.660096,36,3647260,729452,pet supplies
50.04245093,Rekognition-Labels,Clothing,4.50369E+12,94963,123.894811,62,5907940,1181588,pet supplies
47.8587216,Rekognition-Labels,Bowl,3.83422E+12,93520,87.758299,42,3964680,792936,pet supplies
53.79063138,Rekognition-Labels,Word,4.03509E+12,91270,98.530169,53,4908115,981623,pet supplies
53.29183408,Rekognition-Labels,Water,3.63319E+12,87462,99.452385,53,4652590,930518,pet supplies
54.99920699,Rekognition-Labels,Text,3.676E+12,81043,107.274274,59,4782255,956451,pet supplies
74.90191145,Rekognition-Labels,Animal,2.98544E+12,80832,100.130956,75,6106465,1221293,pet supplies
62.54490228,Rekognition-Labels,Pottery,2.86326E+12,77158,83.140269,52,4069385,813877,pet supplies
60.20510882,Rekognition-Labels,Cup,2.38445E+12,72407,68.100533,41,2976630,595326,pet supplies
61.81323366,Rekognition-Labels,Lighting,2.62951E+12,72146,93.83104,58,4229120,845824,pet supplies
53.18508263,Rekognition-Labels,Urban,2.28652E+12,71370,84.610191,45,3278145,655629,pet supplies
54.57364449,Rekognition-Labels,Vehicle,1.942E+12,63166,100.781248,55,3506425,701285,pet supplies
62.70210782,Rekognition-Labels,Vase,1.82504E+12,61448,84.526664,53,3269310,653862,pet supplies
62.61725672,Rekognition-Labels,Potted Plant,1.53547E+12,56635,84.641204,53,3036510,607302,pet supplies
65.6986964,Rekognition-Labels,Produce,1.21128E+12,50831,56.317708,37,1911675,382335,pet supplies
61.99928881,Rekognition-Labels,Electronics,1.26017E+12,50482,88.710695,55,2808735,561747,pet supplies
71.4279847,Rekognition-Labels,Cocktail,1.13777E+12,48989,42.000345,30,1511535,302307,pet supplies
66.10232784,Rekognition-Labels,Cream,8.94027E+11,46398,54.461017,36,1695485,339097,pet supplies
66.10232784,Rekognition-Labels,Creme,8.94027E+11,46398,54.461017,36,1695485,339097,pet supplies
56.54387591,Rekognition-Labels,Fire,9.19915E+11,45122,88.426906,50,2272575,454515,pet supplies
57.9788342,Rekognition-Labels,Ocean,9.09153E+11,44657,89.687902,52,2329995,465999,pet supplies
57.9788342,Rekognition-Labels,Sea,9.09153E+11,44657,89.687902,52,2329995,465999,pet supplies
56.87286746,Rekognition-Labels,Automobile,8.20886E+11,42876,89.673692,51,2214065,442813,pet supplies
56.86943337,Rekognition-Labels,Car,8.20596E+11,42868,89.679107,51,2213635,442727,pet supplies
48.41079564,Rekognition-Labels,Architecture,8.42997E+11,42012,97.085783,47,2012285,402457,pet supplies
41.39062196,Rekognition-Labels,Art,8.71171E+11,41119,166.704429,69,2850775,570155,pet supplies
62.63502052,Rekognition-Labels,Furniture,8.47916E+11,39515,86.21375,54,2136060,427212,pet supplies
67.40922736,Rekognition-Labels,Night,7.83716E+11,38925,96.425968,65,2531380,506276,pet supplies
62.69070837,Rekognition-Labels,Billboard,7.2539E+11,37803,73.376105,46,1759355,351871,pet supplies
57.59374847,Rekognition-Celebrities,Marc Forster,5.37342E+11,36224,90.287577,52,1896400,379280,pet supplies
59.34126206,Rekognition-Labels,Head,6.56103E+11,36110,97.739748,58,2109855,421971,pet supplies
56.3756153,Rekognition-Labels,Flame,5.69327E+11,35452,88.690828,50,1778685,355737,pet supplies
58.35116656,Rekognition-Labels,Wood,5.6949E+11,35219,83.974328,49,1746465,349293,pet supplies
63.7004974,Rekognition-Labels,Mountain,6.0881E+11,34182,69.073244,44,1531370,306274,pet supplies
64.70482629,Rekognition-Labels,Cake,5.2918E+11,33107,60.273711,39,1304245,260849,pet supplies
51.19761928,Rekognition-Labels,Brick,4.71635E+11,32596,109.380086,56,1856765,371353,pet supplies
65.19436271,Rekognition-Labels,City,4.69743E+11,32499,64.422748,42,1377055,275411,pet supplies
65.19436271,Rekognition-Labels,Town,4.69743E+11,32499,64.422748,42,1377055,275411,pet supplies
