taxonomyType,canonicalName/value
adjective,Original
adjective,Exciting
adjective,Interesting
adjective,Shareable
adjective,Funny
adjective,Entertaining
Average shot changes per 10 seconds,7 average shot changes per 10 seconds
averageMixedSentimentPercent,16.2
averageNegativeSentimentPercent,17.82
averageNeutralSentimentPercent,32.6
averagePositiveSentimentPercent,33.39
averageShotChangesPer10Seconds,2
averageWordDurationFirst10Seconds,0.5
averageWordHeightPercentFirst10Seconds,5
averageWordsOnScreenFirst10Seconds,1
averageWordWidthPercentFirst10Seconds,10
category,Hobbies & Interests
category,Camping
comprehendTopTenPhrases,"[""c. diff"",""ryan"",""poop"",""donors"",""kind"",""ryan schneiderman"",""people"",""success"",""scooby doo-doo"",""pain""]"
contextual,Adult Summer Camp
description,Would you get a poop injection if it could save your life? Follow Focal Point for more fascinating science stories!
Duration,31-60 seconds
duration,431.72
Facebook_Content_Tags,United States
Facebook_Content_Tags,Summer camp
Facebook_Content_Tags,Textile
Facebook_Content_Tags,Drinking
Facebook_Content_Tags,Camping
Facebook_Content_Tags,Alcoholic beverages
Facebook_Content_Tags,Adult
format,Overhead shot
format,Live Action
format,Multi-Segment
format,Close-up
format,Text-on-Screen
maxWordsOnScreenFirst10Seconds,1
minWordsOnScreenFirst10Seconds,1
player,facebook
provider,facebook
Rekognition Celebrities,Jason Marsalis
Rekognition Celebrities,Thomas Gansch
Rekognition Celebrities,Charlie Sharples
Rekognition Labels,Tree
Rekognition Labels,Running Track
Rekognition Labels,Shorts
Rekognition Labels,Smile
Rekognition Labels,Word
Rekognition Labels,Plan
Rekognition Labels,Lighting
Rekognition Labels,Field
Rekognition Labels,Adventure
Rekognition Labels,Woman
Rekognition Labels,People
Rekognition Labels,Logo
Rekognition Labels,Map
Rekognition Labels,Plant
Rekognition Labels,Rafting
Rekognition Labels,Nature
Rekognition Labels,Musical
Rekognition Labels,Portrait
Rekognition Labels,Slide
Rekognition Labels,Human
Rekognition Labels,Person
Rekognition Labels,Crowd
Rekognition Labels,Furniture
Rekognition Labels,Girl
Rekognition Labels,Trademark
Rekognition Labels,Swimwear
Rekognition Labels,Sports
Rekognition Labels,Flora
Rekognition Labels,Dancing
Rekognition Labels,Blonde
Rekognition Labels,Clothing
Rekognition Labels,Atlas
Rekognition Labels,Crib
Rekognition Labels,Club
Rekognition Labels,Vegetation
Rekognition Labels,Toy
Rekognition Labels,Tubing
Rekognition Labels,World
Rekognition Labels,Sport
Rekognition Labels,Swimming
Rekognition Labels,Night Club
Rekognition Labels,Jungle
Rekognition Labels,Face
Rekognition Labels,Diagram
Rekognition Labels,Forest
Rekognition Labels,Female
Rekognition Labels,Boat
Rekognition Labels,Underwear
Rekognition Labels,Water
Rekognition Labels,Poster
Rekognition Labels,Leisure Activities
Rekognition Labels,Performer
Rekognition Labels,Celebrating
Rekognition Labels,Night Life
Rekognition Labels,Banana Boat
Rekognition Labels,Badge
Rekognition Labels,Bikini
Rekognition Labels,Music
Rekognition Labels,Dinghy
sentiment,POSITIVE
shotChangesFirst10Secs,3
shotChangesFirst30Secs,9
soundtrack,Instrumental
soundtrack,Pop
title,How Fecal Transplants Can Treat Diseases Drugs Cant Fix
Total Shot Changes - First 10 Seconds,8+ shot changes first 10 seconds
Total shot changes - first 30 seconds,22-24 shot changes first 30 seconds
type,Promotional
type,Highlight
wordsFirst10Seconds,1
wordsPerSecondFirst10Seconds,0.1
