videoId,title,duration,totalVideoPlayCount,trackedSince,lastPlay,sentiment,averageWordsOnScreenFirst10Seconds,maxWordsOnScreenFirst10Seconds,minWordsOnScreenFirst10Seconds,wordsFirst10Seconds,wordsPerSecondFirst10Seconds,totalVideoViews,averageShotChangesPer10Seconds,averageWordDurationFirst10Seconds,averageWordHeightPercentFirst10Seconds,averageWordWidthPercentFirst10Seconds,comprehendTopTenPhrases,description,shotChangesFirst10Secs,shotChangesFirst30Secs,totalVideoImpressions,totalSecondsViewed
facebook10155026108719205,White Teens Lynch Biracial Eight-Year-Old Boy,379.369,78639239,2017-09-12T16:00:00.000Z,2018-06-04T20:55:30.000Z,NEGATIVE,6,8,1,17,1.7,39640869,0,3,7.941176471,14.11764706,"[""attempted murder"",""table"",""we dont"",""under"",""mark chase"",""eight-year-old"",""middle"",""his identity"",""new hampshire"",""justice""]","White Teens Lynch Biracial Eight-Year-Old Boy.
Subscribe: https://goo.gl/a3JY9i",0,0,180321061,2119722255
facebook10153925858929205,Cop Fired For NOT Killing Someone,409.203,25609157,2016-09-15T01:00:00.000Z,2018-06-04T20:55:00.000Z,NEUTRAL,8.545454545,13,1,20,2,10681711,0,4.2,10.75,17.75,"[""stephen mader"",""guy"",""jr"",""right"",""american hero"",""system"",""virginia"",""us"",""rest"",""not shooting guy""]",A good cop was fired for doing the right thing.,0,0,83506256,780949607.6
facebook10154944144584205,This Viral Rant Tries to Equate BLM to KKK,372.094,16905195,2017-08-15T03:30:50.000Z,2018-06-04T20:55:58.000Z,NEUTRAL,3.7,8,1,20,2,8667983,3,1.1,10.5,16.75,"[""nazis"",""tomi"",""trump"",""donald trump"",""charlottesville"",""people"",""left"",""kkk"",""antifa"",""many sides""]", ,7,13,37215176,472710734.9
facebook10153752474144205,Why â€˜Black Lives Matter Is Important,733.098,561147,2016-07-08T15:00:00.000Z,2018-06-04T20:54:28.000Z,NEUTRAL,12.27272727,14,9,19,1.9,5673041,0,6.9,6.052631579,8.947368421,"[""gun"",""1960s"",""black"",""alton sterling"",""america"",""people"",""country"",""us"",""two seconds"",""black lives matter""]",Here is why â€˜Black Lives Matterâ€™ is important.,0,0,33166953,434759894.8
facebook10153734907314205,Tomi Lahrens STUPID Response To Jesse Williamsâ€™ BET Award Spe...,849.871,371225,2016-06-30T18:30:00.000Z,2018-06-04T20:54:39.000Z,NEUTRAL,6,6,6,6,0.6,4286202,0,0.5,5.833333333,7.5,"[""white people"",""same crimes"",""black children"",""more likely"",""black people"",""jesse williams"",""and it"",""black sounding names"",""facts"",""equal rights""]","During the BET Awards Actor Jesse Williams spoke out against the racism that still exists in America, TheBlaze host Tomi Lahren responded in an idiotic way on her program.",0,0,31702848,403842488.2
facebook10153929545604205,Angry Ivanka Trump Walks Out Of Cosmo Interview,643.074,4086667,2016-09-16T20:00:00.000Z,2018-06-04T20:55:00.000Z,NEGATIVE,6,6,6,15,1.5,2594859,1,3.5,10,15,"[""trump"",""ivanka trump"",""donald trump"",""cosmo"",""person"",""child"",""mother"",""reporter followed"",""as usual"",""rest""]",Ivanka Trump recently lost her cool during an interview with Cosmopolitan magazine.,0,0,38574984,393749276.4
facebook10154448823304205,Tomi Doesnt Get The Point of Womens Rights,324.682,13026944,2017-03-10T03:06:16.000Z,2018-06-04T20:56:07.000Z,NEUTRAL,1.75,3,1,5,0.5,5682528,3,2,14,25,"[""tomi"",""women"",""special treatment"",""abortions"",""victim"",""world"",""equality"",""woman"",""suffrage movement"",""1920s""]",Tomi thinks women that fight for her rights are just playing the victim card and should stop.,3,10,46528707,385253231.4
facebook1386460418125111,How Fecal Transplants Can Treat Diseases Drugs Cant Fix,431.721,19475503,2018-04-18T02:21:49.000Z,2018-06-04T20:20:35.000Z,POSITIVE,1,1,1,1,0.1,8894783,2,0.5,5,10,"[""c. diff"",""poop"",""ryan"",""donors"",""kind"",""ryan schneiderman"",""$40"",""week"",""country"",""people""]","Would you get a poop injection if it could save your life?
Follow Focal Point for more fascinating science stories!",3,9,29600939,380120070.8
facebook10154893718034205,transphobia > military,306.195,14575749,2017-07-28T02:00:00.000Z,2018-06-04T20:54:55.000Z,NEUTRAL,1.8,3,1,5,0.5,6881468,3,3.3,10,13,"[""tomi"",""military"",""shit"",""ya"",""fact"",""twitter"",""our veterans"",""commander-in-chief"",""section"",""republicans""]","Tomi Lahren cares more about discriminating against trans people than she does about veterans; she only pushes the ""support the troops"" narrative for patriot clicks. + Hasan Piker has a message for Tomi",7,13,31707843,320200826.5
facebook10154495684584205,"RACIST New York Postâ€‹ Smears Black Murder Victim, Praises Whit...",267.646,15157266,2017-03-25T03:00:00.000Z,2018-06-04T20:56:05.000Z,NEUTRAL,4.181818182,7,1,25,2.5,6918876,2,1.2,10.6,16,"[""post"",""caughman"",""new york post"",""killer"",""police"",""victim"",""racism"",""story"",""timothy caughman"",""man number""]","RACIST New York Post Smears Black Murder Victim, Praises White Killer.
#America2017",4,8,39756026,316388882.8
