"video_id","name","attribute_type"
"facebook10155026108719205","Upsetting","adjective"
"facebook10155026108719205","Interesting","adjective"
"facebook10155026108719205","Emotional","adjective"
"facebook10155026108719205","Informative","adjective"
"facebook10155026108719205","Disturbing","adjective"
"facebook1386460418125111","0 - 5 Percent of Screen Height - First 10 Seconds","Average Height  Of Word On Screen  - First 10 Seconds"
"facebook10153755247184205","0 - 5 Percent of Screen Height - First 10 Seconds","Average Height  Of Word On Screen  - First 10 Seconds"
"facebook10155156653569205","0 - 5 Percent of Screen Height - First 10 Seconds","Average Height  Of Word On Screen  - First 10 Seconds"
"facebook10153570223929205","0 - 5 Percent of Screen Height - First 10 Seconds","Average Height  Of Word On Screen  - First 10 Seconds"
"facebook10154494316084205","0 - 5 Percent of Screen Height - First 10 Seconds","Average Height  Of Word On Screen  - First 10 Seconds"
"facebook10153684085649205","0 - 5 Percent of Screen Height - First 10 Seconds","Average Height  Of Word On Screen  - First 10 Seconds"
"facebook10155965696925891","Travel","category"
"facebook10153567230034205","Arts & Entertainment","category"
"facebook10155026108719205","News","category"
"facebook10155026108719205","Commentary","category"
"facebook10155965696925891","Adventure Travel","category"
"facebook10155026108719205","Hate Content","category"
"facebook10155026108719205","Legal Issues","category"
"facebook1386460418125111","Alternative Medicine","category"
"facebook1386460418125111","Hospitals & Medical Services","category"
"facebook10153552898479205","Arts & Entertainment","category"
"facebook10155026108719205","Woman with Long Hair","content"
"facebook10155026108719205","Mature Man","content"
"facebook10155026108719205","Woman wearing glasses","content"
"facebook10155026108719205","Caucasian Woman blonde hair","content"
"facebook10155026108719205","Woman with Blonde Hair","content"
"facebook10155026108719205","Man with Graying Hair","content"
"facebook10155026108719205","Black text on white backdrop","content"
"facebook10155026108719205","Woman wearing gray t-shirt","content"
"facebook10155026108719205","Married man","content"
"facebook10155965696925891","Text-on-Screen","format"
"facebook10155026108719205","Text-on-Screen","format"
"facebook10155026108719205","Live Action","format"
"facebook10155026108719205","Still image","format"
"facebook1386460418125111","Text-on-Screen","format"
"facebook1386460418125111","The preparation of a medicine made from fecal matter","Mechanical Turk Topic"
"facebook10155965696925891","The largest underground waterfall in the world in Tennessee","Mechanical Turk Topic"
"facebook10155965696925891","Rick Overton","Rekognition Celebrities"
"facebook1386460418125111","Airfield","Rekognition Labels"
"facebook10154407910979205","Beard","Rekognition Labels"
"facebook10154768807754205","Car Show","Rekognition Labels"
"facebook10155150397374205","Car Show","Rekognition Labels"
"facebook10154494316084205","Home Decor","Rekognition Labels"
"facebook10153755247184205","Human","Rekognition Labels"
"facebook10155170074369205","Human","Rekognition Labels"
"facebook10153821725409205","Human","Rekognition Labels"
"facebook10154912630909205","Leisure Activities","Rekognition Labels"
"facebook10155035197919205","Poster","Rekognition Labels"
"facebook10154407910979205","Poster","Rekognition Labels"
"facebook10153752516194205","Poster","Rekognition Labels"
"facebook10154138769114205","Poster","Rekognition Labels"
"facebook10153925858929205","Premiere","Rekognition Labels"
"facebook10155065918454205","Transportation","Rekognition Labels"
"facebook10154706413024205","Weather","Rekognition Labels"
"facebook10154618928554205","Automobile","Rekognition Labels"
"facebook10154728060939205","Beard","Rekognition Labels"
"facebook10155113408869205","Candle","Rekognition Labels"
"facebook10154696325399205","Candle","Rekognition Labels"
"facebook10154859927574205","Cap","Rekognition Labels"
"facebook10153528453574205","Car Show","Rekognition Labels"
"facebook10155017669219205","Human","Rekognition Labels"
"facebook1386460418125111","Human","Rekognition Labels"
"facebook10153925858929205","Human","Rekognition Labels"
"facebook10155008400254205","Human","Rekognition Labels"
"facebook10154556967779205","Human","Rekognition Labels"
"facebook10154946550999205","Human","Rekognition Labels"
"facebook10155315487584205","Human","Rekognition Labels"
"facebook10153929545604205","Human","Rekognition Labels"
"facebook10154699846294205","Human","Rekognition Labels"
"facebook10153686408054205","Leisure Activities","Rekognition Labels"
"facebook10154448823304205","Leisure Activities","Rekognition Labels"
"facebook10154058667789205","Luggage","Rekognition Labels"
"facebook10154495684584205","Luggage","Rekognition Labels"
"facebook10154768807754205","Motor Scooter","Rekognition Labels"
"facebook1386460418125111","Poster","Rekognition Labels"
"facebook10154699846294205","Poster","Rekognition Labels"
"facebook10155167713914205","Premiere","Rekognition Labels"
"facebook10154578321629205","Signature","Rekognition Labels"
"facebook10154047997774205","Swat Team","Rekognition Labels"
"facebook10153515981989205","Transportation","Rekognition Labels"
"facebook10154672059924205","Transportation","Rekognition Labels"
"facebook10155150397374205","Transportation","Rekognition Labels"
"facebook10155071525564205","Transportation","Rekognition Labels"
"facebook10154747079194205","Weather","Rekognition Labels"
"facebook10154875697474205","Windshield","Rekognition Labels"
"facebook10155095401364205","Windshield","Rekognition Labels"
"facebook10154746856159205","Apartment Building","Rekognition Labels"
"facebook10154990092349205","Auditorium","Rekognition Labels"
"facebook10153686408054205","Automobile","Rekognition Labels"
"facebook10154875776849205","Automobile","Rekognition Labels"
"facebook10155150397374205","Automobile","Rekognition Labels"
"facebook10155131927994205","Beard","Rekognition Labels"
"facebook1386460418125111","Home Decor","Rekognition Labels"
"facebook10155095401364205","Human","Rekognition Labels"
"facebook10155167824359205","Human","Rekognition Labels"
"facebook10154840630879205","Human","Rekognition Labels"
"facebook10153689741269205","Human","Rekognition Labels"
"facebook10155147853909205","Human","Rekognition Labels"
"facebook10154448823304205","Human","Rekognition Labels"
"facebook10155011149294205","Human","Rekognition Labels"
"facebook10154138769114205","Human","Rekognition Labels"
"facebook10154047997774205","Human","Rekognition Labels"
"facebook10155167713914205","Human","Rekognition Labels"
"facebook10154672059924205","Human","Rekognition Labels"
"facebook10153570223929205","Leisure Activities","Rekognition Labels"
"facebook10154047997774205","Poster","Rekognition Labels"
"facebook10154893718034205","Poster","Rekognition Labels"
"facebook10155965696925891","Poster","Rekognition Labels"
"facebook10155113408869205","Poster","Rekognition Labels"
"facebook10154475706859205","Poster","Rekognition Labels"
"facebook10154410776394205","Premiere","Rekognition Labels"
"facebook10154875697474205","Scoreboard","Rekognition Labels"
"facebook10153752516194205","Scoreboard","Rekognition Labels"
"facebook10154494316084205","Transportation","Rekognition Labels"
"facebook10153686408054205","Transportation","Rekognition Labels"
"facebook10153752516194205","Transportation","Rekognition Labels"
"facebook10154795623289205","Automobile","Rekognition Labels"
"facebook10154859927574205","Beard","Rekognition Labels"
"facebook10154494316084205","Beard","Rekognition Labels"
"facebook10154155444164205","Human","Rekognition Labels"
"facebook10154955635619205","Human","Rekognition Labels"
"facebook10155103334964205","Human","Rekognition Labels"
"facebook10154155444164205","Luggage","Rekognition Labels"
"facebook10154405732959205","Poster","Rekognition Labels"
"facebook10155254306404205","Poster","Rekognition Labels"
"facebook10154768807754205","Poster","Rekognition Labels"
"facebook10155008400254205","Poster","Rekognition Labels"
"facebook10154512789279205","Poster","Rekognition Labels"
"facebook10153552893334205","Poster","Rekognition Labels"
"facebook10153570223929205","Poster","Rekognition Labels"
"facebook10153925858929205","Scoreboard","Rekognition Labels"
"facebook10154618928554205","Signature","Rekognition Labels"
"facebook10154935736199205","Swat Team","Rekognition Labels"
"facebook10154747079194205","Theater","Rekognition Labels"
"facebook10154058667789205","Transportation","Rekognition Labels"
"facebook10153528453574205","Transportation","Rekognition Labels"
"facebook10153567230034205","Windshield","Rekognition Labels"
"facebook10154986308819205","Windshield","Rekognition Labels"
"facebook10154875697474205","Automobile","Rekognition Labels"
"facebook10154893718034205","Automobile","Rekognition Labels"
"facebook10155113408869205","Automobile","Rekognition Labels"
"facebook10154955635619205","Automobile","Rekognition Labels"
"facebook10155150397374205","Beard","Rekognition Labels"
"facebook10153755247184205","Car Show","Rekognition Labels"
"facebook10154248538534205","Human","Rekognition Labels"
"facebook10154618928554205","Human","Rekognition Labels"
"facebook10153515981989205","Human","Rekognition Labels"
"facebook10155965696925891","Human","Rekognition Labels"
"facebook10153552893334205","Human","Rekognition Labels"
"facebook10154696325399205","Human","Rekognition Labels"
"facebook10153570223929205","Human","Rekognition Labels"
"facebook10155113408869205","Army","Rekognition Labels"
"facebook10154047997774205","Army","Rekognition Labels"
"facebook10154990092349205","Art","Rekognition Labels"
"facebook10153755247184205","Art","Rekognition Labels"
"facebook10154875697474205","Bling","Rekognition Labels"
"facebook10154944144584205","Bling","Rekognition Labels"
"facebook10153755247184205","Bling","Rekognition Labels"
"facebook10153734907314205","Coat","Rekognition Labels"
"facebook10154448823304205","Coat","Rekognition Labels"
"facebook10154581247679205","Coat","Rekognition Labels"
"facebook10153752474144205","Coat","Rekognition Labels"
"facebook10154410776394205","Coat","Rekognition Labels"
"facebook10153552924729205","Hand","Rekognition Labels"
"facebook10154047997774205","Hand","Rekognition Labels"
"facebook10153567230034205","Hand","Rekognition Labels"
"facebook10153761244924205","Hand","Rekognition Labels"
"facebook10154768807754205","Limo","Rekognition Labels"
"facebook10154986308819205","Limo","Rekognition Labels"
"facebook10155113408869205","Military","Rekognition Labels"
"facebook10154146814364205","Military","Rekognition Labels"
"facebook10153689741269205","Military","Rekognition Labels"
"facebook10154990092349205","Modern Art","Rekognition Labels"
"facebook10154475706859205","Newspaper","Rekognition Labels"
